category,initial_price,final_price,drop_pct,proc_type
канцелярские товары,17380.32,14993.64,13.73,44-FZ
канцелярские товары,339966.25,287237.76,15.51,44-FZ
канцелярские товары,297293.79,255155.96,14.17,44-FZ
канцелярские товары,255150.87,223410.19,12.44,44-FZ
канцелярские товары,282816.31,253536.34,10.35,44-FZ
канцелярские товары,114118.11,110600.5,3.08,223-FZ
канцелярские товары,405668.08,345907.13,14.73,223-FZ
канцелярские товары,173424.01,158407.78,8.66,223-FZ
канцелярские товары,111580.31,97971.28,12.2,44-FZ
канцелярские товары,52874.61,48572.38,8.14,223-FZ
канцелярские товары,303844.39,272278.36,10.39,223-FZ
канцелярские товары,486692.3,465144.5,4.43,44-FZ
канцелярские товары,44006.1,40267.43,8.5,223-FZ
канцелярские товары,290789.31,252561.57,13.15,223-FZ
канцелярские товары,27683.07,23506.66,15.09,44-FZ
канцелярские товары,428382.27,359441.94,16.09,44-FZ
канцелярские товары,193162.48,187511.03,2.93,44-FZ
канцелярские товары,188239.58,160502.68,14.73,44-FZ
канцелярские товары,336736.71,303942.51,9.74,44-FZ
канцелярские товары,306519.85,291929.21,4.76,44-FZ
канцелярские товары,269399.24,236582.22,12.18,44-FZ
канцелярские товары,494814.06,433968.96,12.3,223-FZ
канцелярские товары,343884.05,286233.68,16.76,44-FZ
канцелярские товары,411792.28,392101.99,4.78,44-FZ
канцелярские товары,203576.57,172067.67,15.48,223-FZ
канцелярские товары,110250.14,97542.99,11.53,223-FZ
канцелярские товары,200837.79,177273.58,11.73,223-FZ
канцелярские товары,74117.01,68410.52,7.7,223-FZ
канцелярские товары,374771.84,358926.72,4.23,223-FZ
канцелярские товары,113563.78,101737.69,10.41,223-FZ
канцелярские товары,257215.52,222988.31,13.31,44-FZ
канцелярские товары,80656.45,68229.06,15.41,44-FZ
канцелярские товары,397079.29,355779.8,10.4,44-FZ
канцелярские товары,299964.77,272980.62,9.0,223-FZ
канцелярские товары,266911.6,226245.34,15.24,223-FZ
канцелярские товары,341740.29,306863.58,10.21,44-FZ
канцелярские товары,342446.63,314480.91,8.17,44-FZ
канцелярские товары,60218.33,54607.05,9.32,223-FZ
канцелярские товары,83288.09,69295.84,16.8,223-FZ
канцелярские товары,486084.61,444698.38,8.51,223-FZ
канцелярские товары,256302.43,211456.16,17.5,44-FZ
канцелярские товары,80655.44,64837.79,19.61,44-FZ
канцелярские товары,271992.62,236362.33,13.1,44-FZ
канцелярские товары,301477.57,283533.89,5.95,44-FZ
канцелярские товары,14640.99,12025.34,17.87,223-FZ
канцелярские товары,123528.89,116979.24,5.3,223-FZ
канцелярские товары,439614.75,378070.91,14.0,44-FZ
канцелярские товары,408931.51,376563.03,7.92,223-FZ
канцелярские товары,68553.77,63816.08,6.91,44-FZ
канцелярские товары,266198.52,242017.1,9.08,223-FZ
канцелярские товары,482359.64,416293.92,13.7,223-FZ
канцелярские товары,357909.74,327930.12,8.38,44-FZ
канцелярские товары,497598.93,466803.66,6.19,223-FZ
канцелярские товары,64897.08,60721.8,6.43,223-FZ
канцелярские товары,36692.82,28636.05,21.96,44-FZ
канцелярские товары,8559.47,7240.91,15.4,44-FZ
канцелярские товары,118326.18,94412.84,20.21,44-FZ
канцелярские товары,259507.28,242763.03,6.45,44-FZ
канцелярские товары,336144.0,306511.25,8.82,223-FZ
канцелярские товары,125283.63,112482.38,10.22,223-FZ
канцелярские товары,404711.01,368375.95,8.98,223-FZ
канцелярские товары,180377.3,162572.27,9.87,223-FZ
канцелярские товары,236177.21,217959.37,7.71,223-FZ
канцелярские товары,35003.27,33077.45,5.5,44-FZ
канцелярские товары,401293.29,360499.7,10.17,223-FZ
канцелярские товары,74390.24,65600.02,11.82,223-FZ
канцелярские товары,142879.85,125714.58,12.01,44-FZ
канцелярские товары,404971.01,338835.05,16.33,223-FZ
канцелярские товары,30041.22,22287.72,25.81,44-FZ
канцелярские товары,463551.66,408124.16,11.96,44-FZ
канцелярские товары,87324.0,78368.16,10.26,44-FZ
канцелярские товары,451709.22,412777.8,8.62,223-FZ
канцелярские товары,192591.69,161953.05,15.91,44-FZ
канцелярские товары,146198.37,134287.99,8.15,223-FZ
канцелярские товары,81624.43,76007.15,6.88,223-FZ
канцелярские товары,375247.9,282941.96,24.6,44-FZ
канцелярские товары,29820.46,29498.97,1.08,44-FZ
канцелярские товары,33155.39,27732.23,16.36,44-FZ
канцелярские товары,426414.56,367975.65,13.7,44-FZ
канцелярские товары,204868.9,178680.67,12.78,44-FZ
канцелярские товары,291564.93,250734.33,14.0,44-FZ
канцелярские товары,467679.6,426721.42,8.76,223-FZ
канцелярские товары,336514.36,301321.13,10.46,44-FZ
канцелярские товары,337486.66,284792.51,15.61,44-FZ
канцелярские товары,231326.16,194780.73,15.8,223-FZ
канцелярские товары,231851.33,215745.09,6.95,44-FZ
канцелярские товары,41264.06,34876.06,15.48,44-FZ
канцелярские товары,441027.77,392186.61,11.07,223-FZ
канцелярские товары,187915.91,155617.2,17.19,44-FZ
канцелярские товары,307780.49,264853.87,13.95,223-FZ
канцелярские товары,335592.29,331936.79,1.09,44-FZ
канцелярские товары,469770.35,431706.43,8.1,44-FZ
канцелярские товары,135910.63,110990.14,18.34,44-FZ
канцелярские товары,139812.37,130390.19,6.74,44-FZ
канцелярские товары,360218.03,309649.22,14.04,44-FZ
канцелярские товары,255177.48,221610.11,13.15,223-FZ
канцелярские товары,453141.56,411114.5,9.27,223-FZ
канцелярские товары,415527.3,385891.61,7.13,223-FZ
канцелярские товары,6755.12,5706.03,15.53,44-FZ
канцелярские товары,84983.08,81454.21,4.15,223-FZ
канцелярские товары,278081.81,255942.08,7.96,223-FZ
канцелярские товары,472800.21,414617.84,12.31,44-FZ
канцелярские товары,275067.19,232845.46,15.35,44-FZ
канцелярские товары,217744.42,204019.8,6.3,44-FZ
